	Gene	Chromosome	TxStart	TxEnd
6007	DTX3L	3	123765955	123775966
10129	PARP9	3	123766114	123729462
4118	PARP15	3	123817214	123838226
4927	DIRC2	3	123996596	124081451
6473	SEMA5B	3	124229032	124110732
11980	PDIA5	3	124268598	124363640
4054	SEC22A	3	124403498	124474043
2570	ADCY5	3	124650082	124486088
14425	HACD2	3	124786722	124693093
15607	MYLK	3	124822220	124813834
3344	CCDC14	3	125158620	125115257
10041	ROPN1	3	125192889	125170570
12955	KALRN	3	125296274	125721388
12593	UMPS	3	125931902	125946318
7331	ITGB5	3	126088566	125964485
10127	MUC13	3	126136270	126106978
7385	SLC12A8	3	126414273	126284693
9835	ZNF148	3	126576847	126433871
7420	SNX4	3	126721748	126648184
13328	OSBPL11	3	126796624	126730391
10227	ALG1L	3	127138580	127130815
15304	ROPN1B	3	127170725	127184992
10344	SLC41A3	3	127285832	127207897
3370	ALDH1L1	3	127382116	127305113
1757	KLF15	3	127558935	127544176
4892	CFAP100	3	127596479	127638096
5375	ZXDC	3	127676528	127639141
4918	UROC1	3	127719292	127683395
6592	CHST13	3	127725873	127744831
9806	C3orf22	3	127760456	127751217
438	TXNRD3NB	3	127810096	127773319
4565	CHCHD6	3	127905815	128161942
15733	PLXNA1	3	128190199	128238926
13605	C3orf56	3	128394671	128399723
10914	TPRA1	3	128792194	128774613
11160	MCM2	3	128799950	128823974
1435	PODXL2	3	128830757	128874343
10242	ABTB1	3	128874478	128882460
8747	MGLL	3	129024399	128890608
1510	KBTBD12	3	129124953	129189203
775	SEC61A1	3	129253909	129273223
1190	RUVBL1	3	129325340	129282500
10334	EEFSEC	3	129355010	129610186
9484	DNAJB8	3	129668789	129663979
2283	GATA2	3	129694726	129680969
9576	RPN1	3	129852417	129821510
10837	RAB7A	3	129927676	130016339
7412	EFCC1	3	130231989	130242281
15578	GP9	3	130262342	130263945
12287	RAB43	3	130323317	130289115
12421	ISY1	3	130362727	130330932
6499	CNBP	3	130385397	130371129
6625	COPG1	3	130451150	130479312
13571	SMCO1	3	130480514	130506831
356	H1FX	3	130517815	130516312
3745	EFCAB12	3	130630192	130602862
3301	MBD4	3	130641417	130632819
15884	IFT122	3	130641665	130721888
7973	RHO	3	130730179	130736885
5165	H1FOO	3	130744754	130752902
11000	PLXND1	3	130808359	130756715
1681	TMCC1	3	130889780	130849334
13866	TRH	3	131176260	131179478
8830	COL6A5	3	131633453	131686386
7963	PIK3R4	3	131948348	131880475
15555	ATP2C1	3	132095719	132218251
9990	ASTE1	3	132228344	132215418
12832	NEK11	3	132228424	132376672
14567	NUDT16	3	132583404	132587627
11620	MRPL3	3	132704527	132663743
1996	CPNE4	3	133236542	132736419
15087	ACPP	3	133518948	133560292
13499	DNAJC13	3	133665314	133740571
6069	ACAD11	3	133861624	133759683
5718	UBA5	3	133861843	133879319
4200	NPHP3	3	133923974	133882151
1579	TMEM108	3	134239950	134597753
7454	BFSP2	3	134601487	134676754
14897	CDV3	3	134775271	134791802
7597	TOPBP1	3	134863388	134802184
7073	TF	3	134947932	134980333
13666	SRPRB	3	135007374	135022221
3138	RAB6B	3	135097358	135030063
1491	C3orf36	3	135131354	135129689
14792	SLCO2A1	3	135231426	135134239
13464	AMOTL2	3	135576104	135556887
10777	ANAPC13	3	135687527	135679247
13742	CEP63	3	135687766	135763306
3577	KY	3	135852562	135804821
14685	EPHB1	3	135996957	136462003
4330	PPP2R3A	3	137167264	137349431
8401	MSL2	3	137397386	137350457
10549	PCCB	3	137451845	137531703
7211	STAG1	3	137953943	137538696
11533	SLC35G2	3	138020677	138057427
15274	NCK1	3	138063770	138150665
12899	IL20RB	3	138159404	138212618
11053	SOX14	3	138966276	138967094
12368	CLDN18	3	139200355	139235192
4312	DZIP1L	3	139317149	139263531
14838	A4GNT	3	139333905	139325764
6781	DBR1	3	139376471	139362550
11987	ARMC8	3	139388845	139498917
9630	NME9	3	139526437	139502751
11353	MRAS	3	139550212	139607073
14240	ESYT3	3	139636125	139678600
6166	CEP70	3	139795827	139695886
13691	FAIM	3	139810145	139834909
2525	FOXL2	3	140148499	140145765
4272	FOXL2NB	3	140148773	140155528
10096	PRR23B	3	140222466	140220570
10095	PRR23C	3	140246432	140243641
2645	MRPS22	3	140545558	140558763
11578	COPB2	3	140591159	140559132
12783	RBP2	3	140678050	140654424
12782	RBP1	3	140741188	140718977
1686	NMNAT3	3	140829300	140762121
9365	CLSTN2	3	141136904	141769328
2921	TRIM42	3	141879578	141902689
3894	SLC25A36	3	142143385	142178851
14553	SPSB4	3	142253440	142350150
4633	PXYLP1	3	142433400	142496173
3051	RASA2	3	142688623	142813895
1863	RNF7	3	142939748	142947940
8698	GRK7	3	142979740	143018590
7007	ATP1B3	3	143078167	143128080
7733	TFDP2	3	143201887	143154042
14672	GK5	3	143427107	143366227
7942	XRN1	3	143649551	143508149
5191	ATR	3	143780349	143650777
11975	PLS1	3	143825041	143915199
10431	TRPC1	3	143925613	144009427
10924	PCOLCE2	3	144090632	144019409
3532	PAQR9	3	144164876	144162773
115	CHST2	3	144320870	144324508
7615	SLC9A9	3	145049987	144466762
6072	PLOD2	3	147361980	147269927
14417	PLSCR4	3	147451568	147392823
12185	PLSCR2	3	147696420	147633779
5294	PLSCR1	3	147745194	147715665
14600	ZIC4	3	148596983	148588030
14618	ZIC1	3	148609878	148615046
13752	AGTR1	3	149898362	149943486
3646	CPB1	3	150028285	150060668
11847	CPA3	3	150065781	150097560
10282	GYG1	3	150192036	150228117
1649	HLTF	3	150287007	150230611
15301	HPS3	3	150330068	150374003
8756	CP	3	150422277	150374073
2329	TM4SF18	3	150534117	150521553
11197	TM4SF1	3	150578266	150569502
7768	TM4SF4	3	150675131	150703766
9950	WWTR1	3	150858480	150720730
13023	COMMD2	3	150952976	150941229
5	RNF13	3	151013201	151162621
9278	PFN2	3	151171594	151165391
5399	TSC22D2	3	151609485	151660311
14070	SERP1	3	151746935	151742995
13222	SELENOT	3	151803763	151830930
163	ERICH6	3	151904436	151860374
9012	SIAH2	3	151963961	151941608
57	CLRN1	3	152144721	152126647
9903	MED12L	3	152287373	152634508
10647	GPR171	3	152403677	152398317
10228	P2RY14	3	152478852	152412604
9720	GPR87	3	152517334	152494594
12901	P2RY13	3	152529651	152526793
12900	P2RY12	3	152585242	152538073
11438	IGSF10	3	152659195	152637174
8810	AADAC	3	153014563	153028972
10885	SUCNR1	3	153074134	153082348
514	MBNL1	3	153468526	153666266
1266	P2RY1	3	154035433	154038539
9008	RAP2B	3	154362726	154368959
14384	DHX36	3	155524973	155476159
5302	MME	3	156280601	156381882
8426	PLCH1	3	156796869	156680372
1486	C3orf33	3	157006750	156963108
13019	SLC33A1	3	157054869	157028072
7655	GMPS	3	157071026	157138223
5658	KCNAB1	3	157321049	157739245
11511	SSR3	3	157755637	157741246
610	TIPARP	3	157875080	157907236
14148	LEKR1	3	158026797	158246620
13308	CCNL1	3	158361184	158348286
13157	PTX3	3	158637308	158644078
10299	VEPH1	3	158700045	158461399
1797	SHOX2	3	159306541	159297702
6971	RSRC1	3	159310593	159745276
371	MLF1	3	159771684	159805892
7223	GFM1	3	159845018	159893063
13602	LXN	3	159873184	159866907
10698	RARRES1	3	159932977	159905143
14072	MFSD1	3	160002613	160030206
4015	IL12A	3	161189330	161196507
221	IFT80	3	161600022	161457489
12898	SMC4	3	161600157	161635441
11118	TRIM59	3	161650328	161637914
4263	ARL14	3	161877648	161878935
13532	PPM1L	3	161956697	162271515
13594	B3GALNT1	3	162305814	162285474
1886	NMD3	3	162421800	162452497
15121	SPTSSB	3	162571986	162545290
5738	SI	3	166278984	166179388
4265	SLITRK3	3	166397171	166387211
3895	BCHE	3	167037952	166973394
11594	ZBBX	3	168528478	168441122
2501	SERPINI2	3	168674520	168642424
4077	PDCD10	3	168935296	168884398
7849	SERPINI1	3	168936224	169026056
48	GOLIM4	3	169296371	169209932
1966	ACTRT3	3	170970385	170967414
5977	MYNN	3	170973916	170988034
8520	LRRC34	3	171013014	170993967
8518	LRRC31	3	171070355	171039668
15071	SAMD7	3	171112183	171139648
14371	SEC62	3	171167281	171198861
2365	GPR160	3	171239404	171285883
1839	PHC3	3	171382218	171297385
5573	PRKCI	3	171422926	171506466
4562	SKIL	3	171558217	171593238
9355	CLDN11	3	171619366	171634585
16035	SLC7A14	3	171727359	171667316
2083	EIF5A2	3	172109128	172088905
13337	SLC2A2	3	172227470	172196838
11629	TNIK	3	172660554	172264371
6661	PLD1	3	172938574	172801346
15644	FNDC3B	3	173247404	173597971
3989	GHSR	3	173648905	173648035
7176	TNFSF10	3	173723971	173706166
15560	NCEH1	3	173911710	173831136
14774	ECT2	3	173951249	174021965
2905	SPATA16	3	174341703	174089851
6425	NLGN1	3	174598945	175483818
14588	NAALADL2	3	176059812	177006128
5795	TBL1XR1	3	178397742	178221874
6915	KCNMB2	3	179736925	180044919
419	ZMAT3	3	180272286	180224228
4084	PIK3CA	3	180349012	180435197
6914	KCNMB3	3	180452105	180443295
15082	ZNF639	3	180524252	180536022
8525	MFN1	3	180548181	180593708
10463	GNB4	3	180652073	180599703
8786	ACTL6A	3	180763409	180788896
2325	MRPL47	3	180805136	180788958
14578	NDUFB5	3	180805276	180824989
6094	USP13	3	180853642	180984683
11414	PEX5L	3	181237219	181000751
3409	TTC14	3	181802661	181818318
2685	CCDC39	3	181938364	181814497
6152	FXR1	3	182113153	182177650
13506	DNAJC19	3	182190232	182184207
15485	SOX2	3	182912423	182914923
2203	ATP11B	3	183993992	184122121
8941	DCUN1D1	3	184181028	184143261
12482	LAMP3	3	184363325	184322705
1302	B3GNT5	3	184453746	184473880
5873	MCF2L2	3	184579894	184379869
14862	KLHL6	3	184756110	184691938
11102	KLHL24	3	184836112	184885004
15343	YEATS2	3	184898307	185013110
11505	MAP6D1	3	185026067	185016371
5872	PARL	3	185085356	185029881
15794	ABCC5	3	185218377	185120427
11167	HTR3D	3	185232033	185239858
11170	HTR3C	3	185253536	185261161
11168	HTR3E	3	185300668	185307484
362	EIF2B5	3	185335825	185345792
7570	DVL3	3	185355985	185374016
3970	AP2M1	3	185375417	185384580
8651	ABCF3	3	185386587	185394495
3393	ALG3	3	185449448	185442818
2470	ECE2	3	185450150	185493520
10318	CAMK2N2	3	185461953	185460473
14375	PSMD2	3	185499723	185509542
4887	EIF4G1	3	185515057	185535847
9599	FAM131A	3	185540959	185546764
521	CLCN2	3	185557510	185547095
4941	POLR2H	3	185563895	185569065
4028	THPO	3	185578634	185572474
6201	CHRD	3	185580562	185590320
14684	EPHB3	3	185762288	185782897
13481	MAGEF1	3	185912538	185910857
6121	VPS8	3	186012660	186253094
9616	EHHADH	3	186454518	186391115
13265	MAP3K13	3	186563671	186683329
7314	TMEM41A	3	186699504	186691497
2306	LIPH	3	186753071	186708272
5203	SENP2	3	186786732	186831585
11434	IGF2BP2	3	187025514	186844268
5335	TRA2B	3	187138458	187117238
15909	ETV5	3	187309579	187246811
13994	DGKG	3	187562479	187349748
1658	CRYGS	3	187744869	187738933
1322	TBCCD1	3	187767814	187746831
586	DNAJB11	3	187771168	187786290
6864	AHSG	3	187813588	187821807
8460	FETUB	3	187840850	187853498
5622	HRG	3	187866499	187878724
13457	KNG1	3	187917821	187944443
2783	EIF4A2	3	187984067	187990385
6488	RFC4	3	188006992	187990385
12035	ADIPOQ	3	188043164	188058952
12429	ST6GAL1	3	188131217	188279043
6665	RPL39L	3	188339965	188321442
15243	RTP1	3	188397975	188401953
12550	MASP1	3	188492172	188434575
15240	RTP4	3	188568869	188572069
8453	SST	3	188870808	188869406
11173	RTP2	3	188903047	188898748
461	BCL6	3	188936950	188921866
11284	LPP	3	189413422	190080143
15763	TPRG1	3	190372464	190523972
3430	TP63	3	190831917	191097764
15315	P3H2	3	191321415	191157220
3421	CLDN1	3	191522917	191506195
9360	CLDN16	3	191588542	191611035
12647	TMEM207	3	191650367	191629149
4814	IL1RAP	3	191714592	191852003
4552	OSTN	3	192413023	192450612
7890	UTS2B	3	192482742	192468052
7015	FGF12	3	193608714	193342427
15661	MB21D2	3	194118652	193997310
11745	HRASLS	3	194441619	194471345
2223	ATP13A4	3	194755398	194640605
51	OPA1	3	194793813	194898017
11095	HES1	3	195336635	195339098
2457	CPN2	3	195553314	195542197
7988	LRRC15	3	195571769	195557280
15579	GP5	3	195601531	195595355
3885	ATP13A3	3	195654067	195604699
9921	TMEM44	3	195835410	195789699
9859	LSG1	3	195874208	195842816
3814	FAM43A	3	195887918	195891061
10502	XXYLT1	3	196473174	196270311
11270	ACAP2	3	196645049	196476775
5629	PPP1R2	3	196751370	196722521
8306	MUC4	3	197027458	196963223
11082	TNK2	3	197110742	197083403
2616	TFRC	3	197297251	197264659
2039	ZDHHC19	3	197426610	197412634
1321	PCYT1A	3	197502894	197453567
3589	TCTEX1D2	3	197533455	197506408
2330	TM4SF19	3	197553554	197531266
3120	UBXN7	3	197647608	197569062
12789	WDR53	3	197783723	197769370
1770	NRROS	3	197854965	197877182
6740	CEP19	3	197927404	197922230
749	PIGX	3	197927624	197950077
4380	PAK2	3	197955224	198047662
5202	SENP5	3	198083086	198146409
19	NCBP2	3	198157710	198150588
751	PIGZ	3	198184014	198161524
13710	MELTF	3	198244952	198234134
8109	DLG1	3	198513757	198259732
1518	BDH1	3	198771165	198726756
9961	FYTTD1	3	198964992	198999494
14642	LRCH3	3	199006454	199086766
9958	RPL35A	3	199165361	199171029
14485	ZNF718	4	114401	147777
9827	ZNF141	4	321623	359045
4400	PIGG	4	483009	523317
10966	PDE6B	4	609394	654542
13992	ATP5ME	4	658122	656225
15549	MYL5	4	658348	665817
3722	SLC49A3	4	672932	665619
2837	PCGF3	4	689572	754255
451	CPLX1	4	809775	768575
11722	GAK	4	915805	832895
13985	DGKQ	4	957174	942505
1960	IDUA	4	970614	988146
13873	SLC26A1	4	977013	971276
3596	FGFRL1	4	995439	1010515
14647	RNF212	4	1097180	1055098
15259	SPON2	4	1156427	1150552
12074	CTBP1	4	1232738	1195057
5793	MAEA	4	1273501	1323754
7547	UVSSA	4	1330933	1371562
4778	CRIPAK	4	1377662	1379597
5849	FAM53A	4	1652949	1609621
3471	SLBP	4	1681208	1661815
5011	TACC3	4	1690496	1714126
15329	FGFR3	4	1762853	1777829
15171	LETM1	4	1825205	1781990
2394	NSD2	4	1861739	1951161
12173	NELFA	4	1977922	1951687
13520	NAT8L	4	2028817	2034866
11122	POLN	4	2198189	2040875
5951	HAUS3	4	2211091	2200802
12329	MXD4	4	2230970	2216390
10396	ZFYVE28	4	2387600	2238555
1864	RNF4	4	2438037	2484812
11810	FAM193A	4	2664364	2771507
11387	SH3BP2	4	2857545	2877920
13538	ADD1	4	2882589	2968794
1772	MFSD10	4	2972774	2969299
7683	NOP14	4	3002123	2976670
14839	GRK4	4	3002347	3079479
3266	HTT	4	3113411	3282656
9457	MSANTD1	4	3287735	3310434
15598	RGS12	4	3352842	3478607
14328	HGFAC	4	3480694	3488182
11968	DOK7	4	3502006	3533177
136	LRPAP1	4	3571113	3551263
7754	ADRA2C	4	3804398	3807217
2334	OTOP1	4	4346693	4308601
2127	TMEM128	4	4368006	4355340
549	LYAR	4	4409915	4387510
5329	ZBTB49	4	4410049	4441581
9594	NSG1	4	4506823	4538856
13709	STX18	4	4661847	4538769
5052	MSX1	4	4979703	4983351
3434	CYTL1	4	5139269	5134387
12362	STK32B	4	5171598	5620797
2486	EVC2	4	5828366	5682486
6423	EVC	4	5830995	5948853
8919	CRMP1	4	6008387	5940563
4503	C4orf50	4	6108238	6076916
13310	JAKMIP1	4	6320354	6173557
7841	WFS1	4	6389648	6423064
12055	PPP2R2C	4	6501669	6440377
6860	MAN2B2	4	6694973	6742260
3440	MRFAP1	4	6760516	6762521
7819	S100P	4	6813637	6816969
10555	MRFAP1L1	4	6829626	6827502
5114	BLOC1S4	4	6835913	6837459
2463	KIAA0232	4	6902538	7003962
13960	TBC1D14	4	7029643	7152911
5631	CCDC96	4	7162738	7160969
910	GRPEL1	4	7187872	7179851
9956	SORCS2	4	7312543	7862634
9290	AFAP1	4	7992094	7878512
3116	ABLIM2	4	8278552	8086099
6476	SH3TC1	4	8319164	8360899
14182	HTRA3	4	8389562	8426901
4227	TRMT44	4	8558674	8596352
1451	ACOX3	4	8560499	8486518
2621	GPR78	4	8700361	8707589
3088	CPZ	4	8712505	8739557
6178	USP17L2	4	9017397	9018990
10752	DRD5	4	9459871	9461901
13331	SLC2A9	4	9699383	9504117
2217	WDR1	4	9794842	9752232
13546	ZNF518B	4	10124244	10117794
10569	CLNK	4	10362758	10168106
2723	HS3ST1	4	11106806	11076256
10336	RAB28	4	13162043	13046439
1970	NKX3-2	4	13222307	13218722
11683	BOD1L1	4	13305597	13282325
5973	CPEB2	4	14681790	14748043
7105	C1QTNF7	4	15017880	15123533
9584	FBXL5	4	15333165	15283614
11575	BST1	4	15380909	15410064
12487	CD38	4	15456199	15526975
9384	FGFBP1	4	15616240	15613462
9383	FGFBP2	4	15641097	15638135
10341	PROM1	4	15753835	15646125
6524	TAPT1	4	15904363	15840634
14337	LDB2	4	16576486	16179435
13937	QDPR	4	17189970	17164418
8976	LAP3	4	17255195	17285859
14649	MED28	4	17292541	17302429
10930	DCAF16	4	17483090	17481096
7670	NCAPG	4	17488793	17522756
12459	LCORL	4	17699645	17521112
12211	SLIT2	4	19931503	20297074
4538	PACRGL	4	20374173	20430799
4155	KCNIP4	4	20981798	20407313
14933	ADGRA3	4	22121027	22097929
11524	PPARGC1A	4	23567969	23469913
13776	DHX15	4	24262432	24205369
9850	SOD3	4	24472323	24478733
9111	CCDC149	4	24658095	24504849
14763	LGI2	4	24708584	24679658
6349	SEPSECS	4	24838254	24799990
5877	PI4K2B	4	24911943	24956979
14787	ZCCHC4	4	24990676	25047932
4175	ANAPC4	4	25055116	25096388
8855	SLC34A2	4	25333741	25354773
12218	SEL1L3	4	25540713	25425318
12770	RBPJ	4	25998716	26109547
15962	CCKAR	4	26168311	26159286
13951	TBC1D19	4	26261974	26433071
7812	STIM2	4	26538581	26703272
5086	PCDH7	4	30398305	30821017
4819	ARAP2	4	35983929	35890187
276	C4orf19	4	37408420	37416000
15213	RELL1	4	37510563	37414987
11076	PGM2	4	37650907	37687124
10875	TBC1D1	4	37715285	37963360
2180	PTTG2	4	37784621	37785197
13227	KLF3	4	38488388	38522964
1336	TLR10	4	38607155	38596828
5914	TLR1	4	38628978	38620443
5915	TLR6	4	38653726	38650973
4244	TMEM156	4	38856607	38791008
14865	KLHL5	4	38869224	38946395
14741	WDR19	4	39006589	39109995
11380	RFC1	4	39190518	39111641
12985	KLB	4	39231038	39272919
5575	LIAS	4	39283230	39301835
8504	UGDH	4	39351777	39322941
6746	SMIM14	4	39463047	39375115
5728	UBE2K	4	39522436	39604148
4032	N4BP2	4	39897719	39979583
12866	RHOH	4	40021167	40068419
11874	CHRNA9	4	40178396	40197901
8629	RBM47	4	40358896	40266665
468	NSUN7	4	40592869	40652928
10989	APBB2	4	41057416	40657166
10692	UCHL1	4	41099856	41111373
238	PHOX2B	4	41591915	41587027
3435	TMEM33	4	41778096	41798751
3542	SLC30A9	4	41833450	41930478
15195	BEND4	4	41995622	41960821
9987	ATP8A1	4	42499816	42255562
10018	KCTD8	4	44291752	44017200
15351	YIPF7	4	44494586	44471623
8018	GUF1	4	44521410	44542130
11542	GNPDA2	4	44569540	44545096
9180	GABRG1	4	45967010	45878716
7495	GABRA2	4	46232873	46092633
10164	COX7B2	4	46735051	46577776
7490	GABRA4	4	46836383	46771169
15723	GABRB1	4	46874506	47269373
13020	COMMD8	4	47306604	47293816
5580	ATP10D	4	47328337	47436431
4213	CORIN	4	47680987	47436945
9541	NFXL1	4	47757581	47690187
10393	CNGA1	4	47824359	47778958
12227	NIPAL1	4	47859718	47880006
10938	TXK	4	47977201	47909688
8994	TEC	4	48112742	47978728
10656	SLC10A4	4	48326376	48332092
12269	ZAR1	4	48333236	48337348
15863	OCIAD1	4	48674032	48704191
9583	OCIAD2	4	48749743	48728334
8114	CWH43	4	48829192	48905021
8944	DCUN1D4	4	52550227	52623929
1883	LRRC66	4	52724714	52700794
13918	SGCB	4	52745374	52727799
12583	USP46	4	53366368	53302137
9191	RASL11B	4	53569422	53573929
14032	SCFD2	4	54073156	53580882
12214	FIP1L1	4	54084790	54166770
11865	LNX1	4	54265295	54167556
5179	CHIC2	4	54771716	54716885
10170	GSX2	4	54807417	54809043
10324	PDGFRA	4	54936374	55005339
3647	KIT	4	55365033	55447807
10674	KDR	4	55832690	55785576
934	SRD5A3	4	56053336	56078406
1012	TMEM165	4	56103284	56133270
11375	CLOCK	4	56253925	56139587
1622	PDCL2	4	56299307	56263620
684	NMU	4	56343393	56302325
14262	EXOC1	4	56560757	56612111
8576	CEP135	4	56655964	56740454
8781	KIAA1211	4	56877288	57034914
1252	AASDH	4	57094566	57045386
4517	PPAT	4	57142773	57100458
14110	PAICS	4	57142868	57168453
11417	SRP72	4	57174717	57210775
9255	HOPX	4	57388382	57355092
12296	SPINK2	4	57528821	57516961
13243	REST	4	57614969	57639268
4936	POLR2B	4	57686036	57738262
333	IGFBP7	4	57817467	57738173
3228	ADGRL3	4	62191604	62766933
1699	TECRL	4	65103944	64972190
6995	EPHA5	4	66364275	66018411
5839	CENPC	4	68239967	68166965
14602	STAP1	4	68253211	68301377
1934	GNRHR	4	68450570	68431871
149	TMPRSS11D	4	68578482	68515366
151	TMPRSS11F	4	68824353	68747681
147	TMPRSS11B	4	68940175	68921137
14978	YTHDC1	4	69044520	69007809
150	TMPRSS11E	4	69141946	69661430
12916	UGT2B17	4	69263011	69231670
13430	UGT2B15	4	69365112	69693144
13438	UGT2B10	4	69862488	69877380
11549	UGT2B7	4	70142984	70159464
12918	UGT2B11	4	70261209	70246809
5303	UGT2B28	4	70326976	70341527
11550	UGT2B4	4	70542376	70526643
4462	UGT2A1	4	70694177	70635732
15921	SULT1B1	4	70807190	70773445
7147	SULT1E1	4	70906630	70887690
3135	CSN1S1	4	70977558	70993048
8175	CSN2	4	71007473	71001734
15728	STATH	4	71042407	71048933
11377	HTN3	4	71074935	71083007
11379	HTN1	4	71096918	71105318
50	PRR27	4	71200714	71211411
12294	ODAM	4	71245056	71251045
1395	FDCSP	4	71272574	71281729
8176	CSN3	4	71289078	71297903
10956	CABS1	4	71381468	71383592
11007	SMR3A	4	71407252	71413583
11005	SMR3B	4	71429617	71436719
12054	MUC7	4	71518695	71529473
10062	AMTN	4	71565057	71579219
3787	AMBN	4	71638760	71653762
14657	ENAM	4	71859495	71877571
3115	JCHAIN	4	71897299	71886718
15975	UTP3	4	71919268	71921303
4555	RUFY3	4	71952732	72024309
9523	GRSF1	4	72070632	72050526
7310	MOB1B	4	72133098	72218926
4596	DCK	4	72224426	72261648
10802	SLC4A4	4	72569851	72802834
12059	GC	4	73014923	72972446
12353	NPFFR2	4	73262555	73378813
14299	ADAMTS3	4	73799551	73511721
12164	COX18	4	74300457	74286838
2211	ANKRD17	4	74489537	74305536
15212	ALB	4	74635040	74652167
12359	AFP	4	74666967	74686527
10153	AFM	4	74712496	74734753
5001	RASSF6	4	74851169	74803896
5682	CXCL8	4	74971309	74974466
5680	CXCL6	4	75067447	75069511
9840	PF4V1	4	75084047	75085233
5675	CXCL1	4	75100143	75101988
13972	PF4	4	75212712	75211830
12642	PPBP	4	75218935	75217792
5679	CXCL5	4	75229451	75226394
5677	CXCL3	4	75269525	75267348
5678	CXCL2	4	75329927	75327790
14951	MTHFD2L	4	75354025	75533847
8638	EPGN	4	75539238	75544341
693	EREG	4	75595894	75619512
12390	AREG	4	75675887	75685760
12372	BTC	4	76077008	76028626
5322	PARM1	4	76215476	76332502
9764	RCHY1	4	76796807	76764396
12232	THAP6	4	76796861	76812413
9666	ODAPH	4	76838436	76847106
10446	CDKL2	4	76912750	76861525
10969	G3BP2	4	76955784	76925145
6278	PPEF2	4	77180860	77138206
5397	NAAA	4	77219325	77195814
5681	CXCL9	4	77285820	77279801
169	ART3	4	77289631	77391119
5142	CXCL10	4	77301829	77299451
5141	CXCL11	4	77314412	77312020
12069	NUP54	4	77426834	77392996
10346	SCARB2	4	77492214	77437072
4949	FAM47E	4	77492371	77562112
14367	STBD1	4	77584987	77589461
1331	CCDC158	4	77685637	77591339
8768	SEPT11	4	78228073	78316946
8890	CCNI	4	78354304	78326353
3953	CCNG2	4	78435705	78445125
5143	CXCL13	4	78790084	78890165
1447	CNOT6L	4	79097701	79004337
4691	MRPL1	4	79141079	79231116
2121	FRAS1	4	79336312	79724964
15583	ANXA3	4	79832767	79888761
5765	BMP2K	4	80054710	80190518
6033	PAQR3	4	80217724	80196273
14671	GK2	4	80686551	80684686
14187	ANTXR2	4	81351033	81255869
15160	PRDM8	4	81475836	81482657
13882	FGF5	4	81545018	81565182
14543	CFAP299	4	81614052	82242079
826	BMP3	4	82309297	82331904
10114	PRKG2	4	82483394	82367015
3428	RASGEF1B	4	82750240	82705397
13539	HNRNPD	4	83652328	83631645
12066	HNRNPDL	4	83708198	83702960
12174	ENOPH1	4	83708941	83739418
6407	SCD5	4	84077104	83938219
8075	SEC31A	4	84169579	84096993
12235	THAP9	4	84179084	84198617
9947	LIN54	4	84289161	84203306
1956	COPS4	4	84313417	84354149
3071	PLAC8	4	84393047	84371192
1807	COQ2	4	84563143	84542168
15338	HPSE	4	84613485	84573652
9640	HELQ	4	84734175	84685681
13449	MRPS18C	4	84734350	84740055
13872	ABRAXAS1	4	84763416	84739408
1172	GPAT3	4	84814831	84884205
3861	NKX6-1	4	85776566	85771614
7799	CDS1	4	85861684	85927043
5225	WDFY3	4	85961271	86087197
807	ARHGAP24	4	86753482	87281000
4964	MAPK10	4	87385985	87294810
540	PTPN13	4	87873063	88093481
14728	SLC10A6	4	88127447	88102019
930	C4orf36	4	88170726	88154589
1548	AFF1	4	88285318	88419369
14870	KLHL8	4	88498853	88439392
10439	HSD17B11	4	88669507	88614943
8436	NUDT9	4	88700913	88736676
7302	SPARCL1	4	88807685	88751668
3108	DMP1	4	88928637	88942686
15993	IBSP	4	89077920	89090253
11738	MEPE	4	89111317	89125121
4245	SPP1	4	89253980	89261741
957	PKD2	4	89285998	89356107
1116	ABCG2	4	89437190	89368595
8658	PPM1K	4	89562926	89540223
7717	HERC5	4	89735484	89784492
750	PIGY	4	89802102	89799331
7715	HERC3	4	89870824	89986864
4797	NAP1L5	4	89976158	89974244
15627	FAM13A	4	90101407	90004674
1738	GPRIN3	4	90586122	90525441
8965	SNCA	4	91114009	91004944
10759	MMRN1	4	91173229	91232956
13175	GRID2	4	93582985	95050827
1176	ATOH1	4	95107255	95108320
13582	SMARCAD1	4	95486218	95569619
2415	HPGDS	4	95621205	95576884
11064	PDLIM5	4	95730215	95946554
14204	BMPR1B	4	96036305	96433254
1625	UNC5C	4	96827340	96494371
4751	PDHA2	4	97118420	97119802
9063	STPG2	4	99421569	98837211
2653	RAP1GDS1	4	99539797	99720993
11806	TSPAN5	4	99936905	99750580
15392	EIF4E	4	100208294	100158390
10813	METAP1	4	100274057	100341137
956	ADH5	4	100367191	100349540
955	ADH6	4	100497579	100483056
7605	ADH1A	4	100569320	100554701
7604	ADH1B	4	100599736	100584706
954	ADH7	4	100713628	100690664
278	C4orf17	4	100789377	100820636
10946	TRMT10A	4	100842003	100825061
8963	MTTP	4	100853158	100901804
9029	DAPP1	4	101095184	101147036
2598	LAMTOR3	4	101172881	101159542
589	DNAJB14	4	101205426	101177742
1860	H2AFZ	4	101228690	101226421
12661	DDIT4L	4	101468791	101464206
14099	EMCN	4	101796357	101676163
7590	PPP3CA	4	102625531	102301764
3100	BANK1	4	103069073	103353073
6220	SLC39A8	4	103623526	103539998
9004	NFKB1	4	103779672	103895661
12291	MANBA	4	104039341	103909856
